clause#;word#;passage;;verb;;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
432198;27234;Genesis 47:29;;JQR> ;;622112;W;Conj;;622113;JQR> ;Pred;;622114;LBNW LJWSP ;Cmpl;;;;;;;;;;;;;;;;;;;;;
432238;27416;Genesis 48:6;;JQR>W ;;622237;<L #M >XJHM ;Cmpl;;622238;JQR>W ;Pred;;622239;BNXLTM00;Adju;;;;;;;;;;;;;;;;;;;;;
432285;27619;Genesis 48:16;;JQR> ;;622378;W;Conj;;622379;JQR> ;Pred;;622380;BHM ;Cmpl;;622381;#MJ W#M >BTJ >BRHM WJYXQ ;Subj;;;;;;;;;;;;;;;;;
432318;27777;Genesis 49:1;;JQR> ;;622480;W;Conj;;622481;JQR> ;Pred;;622482;J<QB ;Subj;;622483;>L&BNJW ;Cmpl;;;;;;;;;;;;;;;;;
432487;28465;Genesis 50:11;;QR> ;;622916;<L&KN ;Adju;;622917;QR> ;Pred;;622918;#MH ;Objc;;622919;>BL MYRJM ;Objc;;;;;;;;;;;;;;;;;
432599;29015;Exodus 1:18;;JQR> ;;623259;W;Conj;;623260;JQR> ;Pred;;623261;MLK&MYRJM ;Subj;;623262;LMJLDT ;Cmpl;;;;;;;;;;;;;;;;;
432649;29241;Exodus 2:7;;QR>TJ ;;623407;W;Conj;;623408;QR>TJ ;Pred;;623409;LK ;Cmpl;;623410;>#H MJNQT MN H<BRJT ;Objc;;;;;;;;;;;;;;;;;
432654;29265;Exodus 2:8;;TQR> ;;623423;W;Conj;;623424;TQR> ;Pred;;623425;>T&>M HJLD00;Objc;;;;;;;;;;;;;;;;;;;;;
432664;29312;Exodus 2:10;;TQR> ;;623455;W;Conj;;623456;TQR> ;Pred;;623457;#MW ;Objc;;623458;M#H ;Objc;;;;;;;;;;;;;;;;;
432719;29527;Exodus 2:20;;QR>N ;;623603;QR>N ;Pred;;623604;LW ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
432725;29551;Exodus 2:22;;JQR> ;;623620;W;Conj;;623621;JQR> ;Pred;;623622;>T&#MW ;Objc;;623623;GR#M ;Objc;;;;;;;;;;;;;;;;;
432753;29698;Exodus 3:4;;JQR> ;;623709;W;Conj;;623710;JQR> ;Pred;;623711;>LJW ;Cmpl;;623712;>LHJM ;Subj;;623713;MTWK HSNH ;Loca;;;;;;;;;;;;;
433235;31966;Exodus 7:11;;JQR> ;;625122;W;Conj;;625123;JQR> ;Pred;;625124;GM&PR<H ;Subj;;625125;LXKMJM WLMK#PJM ;Cmpl;;;;;;;;;;;;;;;;;
433328;32448;Exodus 8:4;;JQR> ;;625405;W;Conj;;625406;JQR> ;Pred;;625407;PR<H ;Subj;;625408;LM#H WL>HRN ;Cmpl;;;;;;;;;;;;;;;;;
433401;32851;Exodus 8:21;;JQR> ;;625635;W;Conj;;625636;JQR> ;Pred;;625637;PR<H ;Subj;;625638;>L&M#H ;Cmpl;;;;;;;;;;;;;;;;;
433536;33605;Exodus 9:27;;JQR> ;;626064;W;Conj;;626065;JQR> ;Pred;;626066;LM#H WL>HRN ;Cmpl;;;;;;;;;;;;;;;;;;;;;
433653;34199;Exodus 10:16;;QR> ;;626420;LQR> ;Pred;;626421;LM#H WL>HRN ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
433679;34341;Exodus 10:24;;JQR> ;;626506;W;Conj;;626507;JQR> ;Pred;;626508;PR<H ;Subj;;626509;>L&M#H ;Cmpl;;;;;;;;;;;;;;;;;
433814;35143;Exodus 12:21;;JQR> ;;626957;W;Conj;;626958;JQR> ;Pred;;626959;M#H ;Subj;;626960;LKL&ZQNJ J#R>L ;Cmpl;;;;;;;;;;;;;;;;;
433861;35392;Exodus 12:31;;JQR> ;;627101;W;Conj;;627102;JQR> ;Pred;;627103;LM#H WL>HRN ;Cmpl;;627104;LJLH ;Time;;;;;;;;;;;;;;;;;
434224;37248;Exodus 15:23;;QR>&;;628198;<L&KN ;Adju;;628199;QR>&;Pred;;628200;#MH ;Objc;;628201;MRH00;Objc;;;;;;;;;;;;;;;;;
434394;37995;Exodus 16:31;;JQR>W ;;628678;W;Conj;;628679;JQR>W ;Pred;;628680;BJT&J#R>L ;Subj;;628681;>T&#MW ;Objc;;628682;MN ;Objc;;;;;;;;;;;;;
434448;38279;Exodus 17:7;;JQR> ;;628855;W;Conj;;628856;JQR> ;Pred;;628857;#M HMQWM ;Objc;;628858;MSH WMRJBH ;Objc;;;;;;;;;;;;;;;;;
434487;38455;Exodus 17:15;;JQR> ;;628976;W;Conj;;628977;JQR> ;Pred;;628978;#MW ;Objc;;;;;;;;;;;;;;;;;;;;;
434602;39095;Exodus 19:3;;JQR> ;;629345;W;Conj;;629346;JQR> ;Pred;;629347;>LJW ;Cmpl;;629348;JHWH ;Subj;;629349;MN&HHR ;Loca;;;;;;;;;;;;;
434619;39174;Exodus 19:7;;JQR> ;;629400;W;Conj;;629401;JQR> ;Pred;;629402;LZQNJ H<M ;Cmpl;;;;;;;;;;;;;;;;;;;;;
434680;39484;Exodus 19:20;;JQR> ;;629589;W;Conj;;629590;JQR> ;Pred;;629591;JHWH ;Subj;;629592;LM#H ;Cmpl;;629593;>L&R># HHR ;Loca;;;;;;;;;;;;;
435150;41736;Exodus 24:7;;JQR> ;;631063;W;Conj;;631064;JQR> ;Pred;;631065;B>ZNJ H<M ;Adju;;;;;;;;;;;;;;;;;;;;;
435187;41920;Exodus 24:16;;JQR> ;;631172;W;Conj;;631173;JQR> ;Pred;;631174;>L&M#H ;Cmpl;;631175;BJWM H#BJ<J ;Time;;631176;MTWK H<NN00;Adju;;;;;;;;;;;;;
