clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr;phr9#;phr9_txt;phr9_function;phr9_corr
459454;173026;2_Samuel 19:43;link;N#>T ;nif;705147;>M&;Conj;;705148;N#>T ;Modi;;705149;N#> ;Pred;;705150;LNW00;Cmpl;;;;;;;;;;;;;;;;;;;;;
459579;173579;2_Samuel 20:21;link;N#> ;qal;705506;KJ ;Conj;;705507;>J# MHR >PRJM ;Subj;;705510;N#> ;Pred;;705511;JDW ;Objc;;705512;BMLK BDWD ;Cmpl;;;;;;;;;;;;;;;;;
459898;175109;2_Samuel 23:16;link;J#>W ;qal;706426;W;Conj;;706427;J#>W ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
459962;175390;2_Samuel 23:37;link;N#> ;qal;706558;* NXRJ HB>RTJ N#> KLJ JW>B BN&YRJH00;Subj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
460107;176158;1_Kings 1:5;link;MTN#> ;hit;707009;W;Conj;;707010;>DNJH BN&XGJT ;Subj;;707011;MTN#> ;PreC;;;;;;;;;;;;;;;;;;;;;;;;;
460446;177862;1_Kings 2:26;link;N#>T ;qal;708023;KJ&;Conj;;708024;N#>T ;Pred;;708025;>T&>RWN >DNJ JHWH ;Objc;;708026;LPNJ DWD >BJ ;Adju;Cmpl;;;;;;;;;;;;;;;;;;;;
460825;179860;1_Kings 5:23;link;T#> ;qal;709142;W;Conj;;709143;>TH ;Subj;;709144;T#> ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
460845;179975;1_Kings 5:29;link;N#> ;qal;709213;N#> ;PreC;;709214;SBL ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
461149;182110;1_Kings 8:3;link;J#>W ;qal;710116;W;Conj;;710117;J#>W ;Pred;;710118;HKHNJM ;Subj;;710119;>T&H>RWN00;Objc;;;;;;;;;;;;;;;;;;;;;
461480;183931;1_Kings 9:11;link;N#> ;piel;711103;XJRM MLK&YR ;Subj;;711104;N#> ;Pred;;711105;>T&#LMH ;Objc;;711106;B<YJ >RZJM WB<YJ BRW#JM WBZHB ;Cmpl;Adju;711107;LKL&XPYW ;Adju;;;;;;;;;;;;;;;;;
461541;184356;1_Kings 10:2;link;N#>JM ;qal;711294;GMLJM ;Subj;;711295;N#>JM ;PreC;;711296;B#MJM WZHB RB&M>D W>BN JQRH ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
461576;184562;1_Kings 10:11;link;N#> ;qal;711407;>#R&;Rela;;711408;N#> ;Pred;;711409;ZHB ;Objc;;711410;M>WPJR ;Cmpl;;;;;;;;;;;;;;;;;;;;;
461607;184833;1_Kings 10:22;link;N#>T ;qal;711519;N#>T ;PreC;;711520;ZHB WKSP #NHBJM WQPJM WTKJJM00;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
462126;187479;1_Kings 13:29;link;J#> ;qal;713134;W;Conj;;713135;J#> ;Pred;;713136;HNBJ> ;Subj;;713137;>T&NBLT >J#&H>LHJM ;Objc;;;;;;;;;;;;;;;;;;;;;
462290;188286;1_Kings 14:28;link;J#>WM ;qal;713615;J#>WM ;PreO;;713616;HRYJM ;Subj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
462364;188774;1_Kings 15:22;link;J#>W ;qal;713861;W;Conj;;713862;J#>W ;Pred;;713863;>T&>BNJ HRMH W>T&<YJH ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
462710;190544;1_Kings 18:12;link;J#>K ;qal;714875;W;Conj;;714876;RWX JHWH ;Subj;;714877;J#>K ;PreO;;;;;;;;;;;;;;;;;;;;;;;;;
