clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
448520;117185;Joshua 8:15;link;JNSW ;qal;671699;W;Conj;;671700;JNSW ;Pred;;671701;DRK HMDBR00;Cmpl;;;;;;;;;;;;;
448547;117315;Joshua 8:20;link;NWS ;qal;671786;LNWS ;Pred;;671787;HNH WHNH ;Cmpl;;;;;;;;;;;;;;;;;
448549;117323;Joshua 8:20;link;NS ;qal;671790;H;Rela;;671791;NS ;PreC;;671792;HMDBR ;Cmpl;;;;;;;;;;;;;
448757;118589;Joshua 10:11;link;NSM ;qal;672471;BNSM ;PreS;;672472;MPNJ J#R>L ;Cmpl;;;;;;;;;;;;;;;;;
448782;118726;Joshua 10:16;link;JNSW ;qal;672550;W;Conj;;672551;JNSW ;Pred;;672552;XM#T HMLKJM H>LH ;Subj;;;;;;;;;;;;;
449588;124149;Joshua 20:3;link;NWS ;qal;674969;LNWS ;Pred;;674970;#MH ;Cmpl;;674971;RWYX MKH&NP# B#GGH BBLJ&D<T ;Subj;;;;;;;;;;;;;
449590;124169;Joshua 20:4;link;NS ;qal;674976;W;Conj;;674977;NS ;Pred;;674978;>L&>XT MH<RJM H>LH ;Cmpl;;;;;;;;;;;;;
449606;124281;Joshua 20:6;link;NS ;qal;675034;>#R&;Rela;;675035;NS ;Pred;;675036;M#M00;Cmpl;;;;;;;;;;;;;
449614;124363;Joshua 20:9;link;NWS ;qal;675057;LNWS ;Pred;;675058;#MH ;Cmpl;;675059;KL&MKH&NP# B#GGH ;Subj;;;;;;;;;;;;;
450080;127545;Judges 1:6;link;JNS ;qal;676552;W;Conj;;676553;JNS ;Pred;;676554;>DNJ BZQ ;Subj;;;;;;;;;;;;;
450462;129717;Judges 4:15;link;JNS ;qal;677810;W;Conj;;677811;JNS ;Pred;;677812;BRGLJW00;Adju;;;;;;;;;;;;;
450466;129746;Judges 4:17;link;NS ;qal;677825;W;Conj;;677826;SJSR> ;Subj;;677827;NS ;Pred;;677828;BRGLJW ;Adju;;677829;>L&>HL J<L >#T XBR HQJNJ ;Cmpl;;;;;
450685;130643;Judges 6:11;link;HNJS ;hif;678391;LHNJS ;Pred;;678392;MPNJ MDJN00;Cmpl;;;;;;;;;;;;;;;;;
450969;131996;Judges 7:21;link;JNWSW00;qal;679241;W;Conj;;679242;JNWSW00;Pred;;;;;;;;;;;;;;;;;
450972;132017;Judges 7:22;link;JNS ;qal;679252;W;Conj;;679253;JNS ;Pred;;679254;HMXNH ;Subj;;679255;<D&BJT H#VH YRRTH ;Cmpl;;679256;<D #PT&>BL MXWLH ;Loca;Cmpl;679257;<L&VBT00;Loca;Cmpl
451036;132381;Judges 8:12;link;JNWSW ;qal;679448;W;Conj;;679449;JNWSW ;Pred;;679450;ZBX WYLMN< ;Subj;;;;;;;;;;;;;
451215;133308;Judges 9:21;link;JNS ;qal;680011;W;Conj;;680012;JNS ;Pred;;680013;JWTM ;Subj;;;;;;;;;;;;;
451303;133709;Judges 9:40;link;JNS ;qal;680281;W;Conj;;680282;JNS ;Pred;;680283;MPNJW ;Cmpl;;;;;;;;;;;;;
451356;133963;Judges 9:51;link;JNSW ;qal;680438;W;Conj;;680439;JNSW ;Pred;;680440;#MH ;Cmpl;;680441;KL&H>N#JM WHN#JM WKL B<LJ H<JR ;Subj;;;;;;;;;
452730;140612;Judges 20:32;link;NNWSH ;qal;684633;NNWSH ;Pred;;;;;;;;;;;;;;;;;;;;;
452779;140884;Judges 20:45;link;JNSW ;qal;684791;W;Conj;;684792;JNSW ;Pred;;684793;HMDBRH ;Cmpl;;684794;>L&SL< HRMWN ;Cmpl;;;;;;;;;
452788;140936;Judges 20:47;link;JNSW ;qal;684820;W;Conj;;684821;JNSW ;Pred;;684822;HMDBRH ;Cmpl;;684823;>L&SL< HRMWN ;Cmpl;;684824;## M>WT >J# ;Subj;;;;;
453349;143508;1_Samuel 4:10;link;JNSW ;qal;686504;W;Conj;;686505;JNSW ;Pred;;;;;;;;;;;;;;;;;
453380;143650;1_Samuel 4:16;link;NSTJ ;qal;686593;W;Conj;;686594;>NJ ;Subj;;686595;MN&HM<RKH ;Cmpl;;686596;NSTJ ;Pred;;686597;HJWM ;Time;;;;;
453386;143666;1_Samuel 4:17;link;NS ;qal;686609;NS ;Pred;;686610;J#R>L ;Subj;;686611;LPNJ PL#TJM ;Cmpl;;;;;;;;;;;;;
454433;148806;1_Samuel 14:22;link;NSW ;qal;689821;KJ&;Conj;;689822;NSW ;Pred;;689823;PL#TJM ;Subj;;;;;;;;;;;;;
454966;151266;1_Samuel 17:24;link;JNSW ;qal;691407;W;Conj;;691408;JNSW ;Pred;;691409;MPNJW ;Cmpl;;;;;;;;;;;;;
