clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
511724;409707;2_Chronicles 6:31;link;NTTH ;qal;849573;>#R ;Rela;;849574;NTTH ;Pred;;849575;L>BTJNW00;Cmpl;;;;;;;;;;;;;;;;;;;;;
511750;409850;2_Chronicles 6:36;link;NTTM ;qal;849657;W;Conj;;849658;NTTM ;PreO;;849659;LPNJ >WJB ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511763;409907;2_Chronicles 6:38;link;NTTH ;qal;849693;>#R ;Rela;;849694;NTTH ;Pred;;849695;L>BWTM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511869;410481;2_Chronicles 7:19;link;NTTJ ;qal;850011;>#R ;Rela;;850012;NTTJ ;Pred;;850013;LPNJKM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511874;410499;2_Chronicles 7:20;link;NTTJ ;qal;850025;>#R ;Rela;;850026;NTTJ ;Pred;;850027;LHM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511877;410516;2_Chronicles 7:20;link;>TNNW ;qal;850035;W;Conj;;850036;>TNNW ;PreO;;850037;LM#L WL#NJNH ;Cmpl;;850038;BKL&H<MJM00;Adju;;;;;;;;;;;;;;;;;
511893;410610;2_Chronicles 8:2;link;NTN ;qal;850084;>#R ;Rela;;850085;NTN ;Pred;;850086;XWRM ;Subj;;850087;L#LMH ;Cmpl;;;;;;;;;;;;;;;;;
511914;410762;2_Chronicles 8:9;link;NTN ;qal;850148;>#R ;Rela;;850149;L>&;Nega;;850150;NTN ;Pred;;850151;#LMH ;Subj;;850152;L<BDJM LML>KTW ;Cmpl;;;;;;;;;;;;;
511976;411185;2_Chronicles 9:8;link;TTK ;qal;850357;LTTK ;PreO;;850358;<L&KS>W ;Cmpl;;850359;LMLK ;Cmpl;;850360;LJHWH >LHJK ;Adju;;;;;;;;;;;;;;;;;
511979;411203;2_Chronicles 9:8;link;JTNK ;qal;850366;W;Conj;;850367;JTNK ;PreO;;850368;<LJHM ;Cmpl;;850369;LMLK ;Cmpl;;;;;;;;;;;;;;;;;
511981;411213;2_Chronicles 9:9;link;TTN ;qal;850372;W;Conj;;850373;TTN ;Pred;;850374;LMLK ;Cmpl;;850375;M>H W<#RJM KKR ZHB WB#MJM LRB M>D W>BN JQRH ;Objc;;;;;;;;;;;;;;;;;
511983;411239;2_Chronicles 9:9;link;NTNH ;qal;850380;>#R&;Rela;;850381;NTNH ;Pred;;850382;MLKT&#B> ;Subj;;850383;LMLK #LMH00;Cmpl;;;;;;;;;;;;;;;;;
511989;411301;2_Chronicles 9:12;link;NTN ;qal;850407;W;Conj;;850408;HMLK #LMH ;Subj;;850409;NTN ;Pred;;850410;LMLKT&#B> ;Cmpl;;850411;>T&KL&XPYH ;Objc;;;;;;;;;;;;;
512004;411406;2_Chronicles 9:16;link;JTNM ;qal;850452;W;Conj;;850453;JTNM ;PreO;;850454;HMLK ;Subj;;850455;BBJT J<R HLBNWN00;Cmpl;;;;;;;;;;;;;;;;;
512022;411558;2_Chronicles 9:23;link;NTN ;qal;850517;>#R&;Rela;;850518;NTN ;Pred;;850519;H>LHJM ;Subj;;850520;BLBW00;Cmpl;;;;;;;;;;;;;;;;;
512029;411631;2_Chronicles 9:27;link;JTN ;qal;850542;W;Conj;;850543;JTN ;Pred;;850544;HMLK ;Subj;;850545;>T&HKSP BJRW#LM ;Objc;;850546;K>BNJM ;Cmpl;;;;;;;;;;;;;
512030;411646;2_Chronicles 9:27;link;NTN ;qal;850547;W;Conj;;850548;>T H>RZJM ;Objc;;850549;NTN ;Pred;;850550;K#QMJM ;Cmpl;;;;;;;;;;;;;;;;;
