clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
448887;119280;Joshua 10:38;link;J#B ;qal;672870;W;Conj;;672871;J#B ;Pred;;672872;JHW#< WKL&J#R>L <MW ;Subj;;672873;DBRH ;Cmpl;;;;;;;;;;;;;
448906;119410;Joshua 10:43;link;J#B ;qal;672930;W;Conj;;672931;J#B ;Pred;;672932;JHW#< WKL&J#R>L <MW ;Subj;;672933;>L&HMXNH HGLGLH00;Cmpl;;;;;;;;;;;;;
448941;119642;Joshua 11:10;link;J#B ;qal;673034;W;Conj;;673035;J#B ;Pred;;673036;JHW#< ;Subj;;673037;B<T HHJ> ;Time;;;;;;;;;;;;;
449144;121159;Joshua 14:7;link;>#B ;hif;673591;W;Conj;;673592;>#B ;Pred;;673593;>TW ;Objc;Cmpl;673594;DBR ;Objc;;;;;;;;;;;;;
449435;123024;Joshua 18:8;link;#WBW ;qal;674483;W;Conj;;674484;#WBW ;Pred;;674485;>LJ ;Cmpl;;;;;;;;;;;;;;;;;
449510;123553;Joshua 19:12;link;#B ;qal;674720;W;Conj;;674721;#B ;Pred;;674722;M#RJD QDMH MZRX H#M# <L&GBWL KSLT TBR ;Cmpl;;;;;;;;;;;;;;;;;
449533;123740;Joshua 19:27;link;#B ;qal;674796;W;Conj;;674797;#B ;Pred;;674798;MZRX H#M# BJT DGN ;Cmpl;;;;;;;;;;;;;;;;;
449537;123775;Joshua 19:29;link;#B ;qal;674807;W;Conj;;674808;#B ;Pred;;674809;HGBWL ;Subj;;674810;HRMH W<D&<JR MBYR&YR ;Cmpl;;;;;;;;;;;;;
449538;123786;Joshua 19:29;link;#B ;qal;674811;W;Conj;;674812;#B ;Pred;;674813;HGBWL ;Subj;;674814;XSH ;Cmpl;;;;;;;;;;;;;
449545;123857;Joshua 19:34;link;#B ;qal;674838;W;Conj;;674839;#B ;Pred;;674840;HGBWL ;Subj;;674841;JMH >ZNWT TBWR ;Cmpl;;;;;;;;;;;;;
449604;124267;Joshua 20:6;link;J#WB ;qal;675028;>Z ;Modi;;675029;J#WB ;Pred;;675030;HRWYX ;Subj;;;;;;;;;;;;;;;;;
449722;125408;Joshua 22:8;link;#WBW ;qal;675409;BNKSJM RBJM WBMQNH RB&M>D BKSP WBZHB WBNX#T WBBRZL WB#LMWT HRBH M>D ;Adju;;675410;#WBW ;Pred;;675411;>L&>HLJKM ;Cmpl;;;;;;;;;;;;;;;;;
449724;125438;Joshua 22:9;link;J#BW ;qal;675415;W;Conj;;675416;J#BW ;Pred;;;;;;;;;;;;;;;;;;;;;
449750;125649;Joshua 22:16;link;#WB ;qal;675492;L#WB ;Pred;;675493;HJWM ;Time;;675494;M>XRJ JHWH ;Cmpl;;;;;;;;;;;;;;;;;
449756;125689;Joshua 22:18;link;T#BW ;qal;675514;W;Conj;;675515;>TM ;Subj;;675516;T#BW ;Pred;;675517;HJWM ;Time;;675518;M>XRJ JHWH ;Cmpl;;;;;;;;;
449781;125824;Joshua 22:23;link;#WB ;qal;675595;L#WB ;Pred;;675596;M>XRJ JHWH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
449816;125999;Joshua 22:29;link;#WB ;qal;675698;W;Conj;;675699;L#WB ;Pred;;675700;HJWM ;Time;;675701;M>XRJ JHWH ;Cmpl;;;;;;;;;;;;;
449828;126100;Joshua 22:32;link;J#B ;qal;675738;W;Conj;;675739;J#B ;Pred;;675740;PJNXS BN&>L<ZR HKHN WHN#J>JM ;Subj;;675741;M>T BNJ&R>WBN WM>T BNJ&GD M>RY HGL<D ;Cmpl;;675742;>L&>RY KN<N >L&BNJ J#R>L ;Cmpl;;;;;;;;;
449829;126129;Joshua 22:32;link;J#BW ;hif;675743;W;Conj;;675744;J#BW ;Pred;;675745;>WTM ;Objc;Cmpl;675746;DBR00;Objc;;;;;;;;;;;;;
449884;126427;Joshua 23:12;link;#WB ;qal;675910;>M&;Conj;;675911;#WB ;Modi;;675912;T#WBW ;Pred;;;;;;;;;;;;;;;;;
450013;127158;Joshua 24:20;link;#B ;qal;676324;W;Conj;;676325;#B ;Pred;;;;;;;;;;;;;;;;;;;;;
450259;128599;Judges 2:19;link;J#BW ;qal;677151;J#BW ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
450343;129081;Judges 3:19;link;#B ;qal;677419;W;Conj;;677420;HW> ;Subj;;677421;#B ;Pred;;677422;MN&HPSJLJM ;Cmpl;;;;;;;;;;;;;
450631;130365;Judges 5:29;link;T#JB ;hif;678221;>P&HJ> ;Subj;;678222;T#JB ;Pred;;678223;>MRJH ;Objc;;678224;LH00;Cmpl;;;;;;;;;;;;;
450723;130795;Judges 6:18;link;#WBK00;qal;678509;<D #WBK00;PreS;;;;;;;;;;;;;;;;;;;;;;;;;
450857;131456;Judges 7:3;link;J#B ;qal;678914;J#B ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
450859;131464;Judges 7:3;link;J#B ;qal;678918;W;Conj;;678919;J#B ;Pred;;678920;MN&H<M ;Adju;;678921;<#RJM W#NJM >LP ;Subj;;;;;;;;;;;;;
450933;131819;Judges 7:15;link;J#B ;qal;679138;W;Conj;;679139;J#B ;Pred;;679140;>L&MXNH J#R>L ;Cmpl;;;;;;;;;;;;;;;;;
451024;132314;Judges 8:9;link;#WBJ ;qal;679414;B#WBJ ;PreS;;679415;B#LWM ;Adju;;;;;;;;;;;;;;;;;;;;;
451040;132405;Judges 8:13;link;J#B ;qal;679460;W;Conj;;679461;J#B ;Pred;;679462;GD<WN BN&JW># ;Subj;;679463;MN&HMLXMH ;Cmpl;;679464;MLM<LH HXRS00;Loca;;;;;;;;;
451121;132813;Judges 8:33;link;J#WBW ;qal;679710;W;Conj;;679711;J#WBW ;Pred;;679712;BNJ J#R>L ;Subj;;;;;;;;;;;;;;;;;
451377;134056;Judges 9:56;link;J#B ;hif;680499;W;Conj;;680500;J#B ;Pred;;680501;>LHJM ;Subj;;680502;>T R<T >BJMLK ;Objc;;;;;;;;;;;;;
451380;134076;Judges 9:57;link;H#JB ;hif;680508;W;Conj;;680509;>T KL&R<T >N#J #KM ;Objc;;680510;H#JB ;Pred;;680511;>LHJM ;Subj;;680512;BR>#M ;Cmpl;;;;;;;;;
